miRNA_ID,hip_Control_1,hip_Control_2,hip_Control_3,hip_PPCE_1,hip_PPCE_2,hip_PPCE_3
rno-miR-1188-3p,0,1,1,1,0,1
rno-miR-1188-5p,26,7,10,16,28,24
rno-miR-1193-3p,50,41,65,76,81,71
rno-miR-1193-5p,6,3,0,6,8,2
rno-miR-127-3p,112092,92352,96211,171056,134988,115487
rno-miR-127-5p,4527,4140,4050,4895,5595,6071
rno-miR-134-3p,36,29,45,72,67,53
rno-miR-134-5p,1717,1451,1868,2317,1971,1900
rno-miR-136-3p,14332,14142,12889,15106,17345,16507
rno-miR-136-5p,733,738,713,719,953,831
rno-miR-154-3p,20,25,13,26,36,42
rno-miR-154-5p,404,370,431,408,379,612
rno-miR-299a-3p,301,301,301,403,383,336
rno-miR-299a-5p,33,34,26,34,73,68
rno-miR-299b-3p,17,16,14,18,31,48
rno-miR-299b-5p,183,199,190,252,299,244
rno-miR-300-3p,10539,7916,9081,12611,16610,9934
rno-miR-300-5p,135,99,96,172,154,91
rno-miR-3072,33,32,35,49,39,67
rno-miR-323-3p,5136,3596,4456,6500,6712,5483
rno-miR-323-5p,70,35,34,95,62,65
rno-miR-329-3p,898,696,836,1022,1000,1798
rno-miR-329-5p,1855,1937,1875,2201,2561,1993
rno-miR-337-3p,12,13,13,10,34,50
rno-miR-337-5p,977,712,917,1246,1297,1075
rno-miR-341,9309,7009,7612,11047,12391,8535
rno-miR-3543,14568,13533,14078,16441,17562,15290
rno-miR-3544,75,59,63,109,91,75
rno-miR-3576,472,418,418,474,574,520
rno-miR-3578,2863,2383,2622,3419,4238,3409
rno-miR-3579,1140,963,911,1386,1295,1958
rno-miR-3592,2942,2219,2446,2647,3108,2419
rno-miR-3595,14,8,19,17,20,38
rno-miR-369-3p,1379,1205,1235,1870,971,1038
rno-miR-369-5p,2863,2384,2622,3419,3238,3410
rno-miR-370-3p,5419,2785,4185,5531,4985,5225
rno-miR-370-5p,106,49,76,79,168,191
rno-miR-376a-3p,20,17,25,22,43,37
rno-miR-376a-5p,124,100,109,134,198,164
rno-miR-376b-3p,141,97,111,190,123,216
rno-miR-376b-5p,911,891,803,859,923,945
rno-miR-376c-3p,157,156,151,164,193,188
rno-miR-376c-5p,6,1,2,0,3,1
rno-miR-377-3p,33,36,29,36,35,26
rno-miR-377-5p,4,7,13,16,13,5
rno-miR-379-3p,371,308,316,419,432,422
rno-miR-379-5p,29127,27950,32441,41743,34205,38107
rno-miR-380-3p,818,618,605,949,768,846
rno-miR-380-5p,1141,963,911,1386,1295,1959
rno-miR-381-3p,101,75,62,81,120,175
rno-miR-381-5p,2,1,3,4,4,2
rno-miR-382-3p,2946,2224,2449,2053,2108,3422
rno-miR-382-5p,3392,2489,3209,4042,3432,3369
rno-miR-409a-3p,2895,2062,2744,5544,4346,2947
rno-miR-409a-5p,2206,1936,1985,2891,2874,3183
rno-miR-410-3p,1860,1599,1579,2170,1903,2752
rno-miR-410-5p,9,3,6,7,12,8
rno-miR-411-3p,1721,1329,1551,3096,2594,1428
rno-miR-411-5p,21454,20095,20956,29834,27129,26042
rno-miR-412-3p,31,23,15,56,53,24
rno-miR-412-5p,218,119,127,450,436,208
rno-miR-431,233,172,176,253,339,627
rno-miR-433-3p,2657,1737,2317,3634,3319,2424
rno-miR-433-5p,106,69,97,147,143,94
rno-miR-434-3p,14568,13533,14077,17441,14562,16290
rno-miR-434-5p,17774,16920,17153,24306,24206,17444
rno-miR-485-3p,660,426,538,725,521,704
rno-miR-485-5p,1327,1094,1326,1583,1421,2367
rno-miR-487b-3p,1648,1411,1826,1807,1754,2593
rno-miR-487b-5p,6,2,8,4,4,10
rno-miR-493-3p,345,240,326,527,433,311
rno-miR-493-5p,660,491,557,543,637,807
rno-miR-494-3p,95,74,113,66,165,95
rno-miR-494-5p,1,0,1,1,0,2
rno-miR-495,4142,3148,3559,5593,4638,5550
rno-miR-496-3p,543,436,533,608,629,765
rno-miR-496-5p,1,2,0,1,0,0
rno-miR-539-3p,130,160,114,195,110,124
rno-miR-539-5p,472,418,418,474,704,520
rno-miR-540-3p,171,155,162,232,295,302
rno-miR-540-5p,26,29,18,41,45,25
rno-miR-541-3p,20,20,27,20,29,66
rno-miR-541-5p,7192,7074,7755,7717,8137,9378
rno-miR-543-3p,3071,2055,2883,3815,3437,4624
rno-miR-543-5p,19,22,23,25,31,33
rno-miR-544-3p,1,0,1,1,2,0
rno-miR-544-5p,1,3,2,0,1,0
rno-miR-6331,613,525,504,803,692,1557
rno-miR-665,20,21,14,22,31,42
rno-miR-666-3p,3,2,2,6,1,1
rno-miR-666-5p,46,40,28,40,93,65
rno-miR-667-3p,292,254,314,316,1273,429
rno-miR-667-5p,182,189,184,208,260,347
rno-miR-668,248,187,229,289,387,377
rno-miR-673-3p,178,186,161,222,298,267
rno-miR-673-5p,22,9,7,20,18,18
rno-miR-758-3p,662,502,506,963,716,613
rno-miR-770-3p,789,483,590,1587,1156,997
rno-miR-770-5p,59,53,45,77,57,65