"","logFC","logCPM","F","PValue","FDR"
"rno-miR-770-3p",0.835264750265612,7.04900431685883,21.457756903551,0.000490684328709652,0.0791964506537379
"rno-miR-3587",-0.638554935151122,8.21356746308605,22.6464315992346,0.000391371270008127,0.0791964506537379
"rno-miR-29b-3p",-0.638955280761296,8.21503497046345,22.6277455209796,0.000392740660760621,0.0791964506537379
"rno-miR-98-5p",-0.755457455975635,7.23657306444767,24.8961131062956,0.000260522489711296,0.0791964506537379
"rno-miR-212-3p",-0.887431598596278,6.9256827829949,29.4307271176528,0.000123273726974355,0.0791964506537379
"rno-miR-873-5p",0.682315383858875,6.37668502213234,18.1395537825458,0.000966748577711983,0.0866851224681745
"rno-miR-128-3p",0.381002325318644,14.6914469508832,19.8637551481466,0.000673458613216971,0.0866851224681745
"rno-miR-30e-5p",-0.393752235587999,12.7373135445078,18.3529679779693,0.000923381818808558,0.0866851224681745
"rno-miR-135b-5p",-0.945868251851809,6.07745598475321,19.5685771871313,0.000822891809388871,0.0866851224681745
"rno-miR-351-5p",0.685040812898386,5.08392621299035,15.4819830693952,0.00176462476914488,0.140772207979992
"rno-miR-30a-5p",-0.331100278599856,14.2323197935092,15.1319758222356,0.00191882811372976,0.140772207979992
"rno-miR-412-5p",1.04465241752725,5.23991643634339,15.0645051660341,0.00259517366079878,0.174525428688718
"rno-miR-708-3p",0.407996084068217,9.95859700362566,12.8793753117032,0.00338685779871681,0.21024571104342
"rno-miR-409b",0.55579358012937,8.91353439148768,11.809029124124,0.00483464562135425,0.216753278690716
"rno-miR-409a-3p",0.555411815863429,8.9091982801406,11.8452467199452,0.00476701148630315,0.216753278690716
"rno-let-7g-5p",-0.289316104249644,14.0884010328742,12.2886392883143,0.00396705702774182,0.216753278690716
"rno-let-7b-5p",-0.355652741633168,10.7221751563738,11.9859003957436,0.00430885043360909,0.216753278690716
"rno-miR-26b-5p",-0.391540243425979,9.59671217892358,12.1894307412325,0.00407546590245439,0.216753278690716
"rno-miR-374-5p",-0.608439427398493,8.03106014068377,11.540512835229,0.00522077522581044,0.221745558275212
"rno-miR-1843b-5p",0.486207493965393,8.44049289352666,10.551213255512,0.00647773407048359,0.23439612670481
"rno-miR-127-3p",0.314261812233574,14.0562646105877,10.4714810280433,0.00663165420946862,0.23439612670481
"rno-miR-103-3p",-0.372246790551648,11.8208149819877,10.7290101678468,0.00614925626450082,0.23439612670481
"rno-miR-16-5p",-0.401755274564824,8.80328691876329,10.1664002250194,0.00726134221514282,0.23439612670481
"rno-miR-29c-3p",-0.445114258609564,6.69134164638236,10.3933791379681,0.00678657673699238,0.23439612670481
"rno-miR-582-5p",-0.641439393626561,4.74368498540297,14.0897359445819,0.00710263223456749,0.23439612670481
"rno-miR-3556b",-0.437438573563844,6.68475583848798,10.0314911431816,0.00756186673741109,0.234708709888106
"rno-miR-540-3p",0.617166446529848,5.05714706720674,9.84447787202188,0.0080027969742194,0.23919470956278
"rno-miR-101b-3p",-0.341750312366312,11.3692671929056,9.56505819156758,0.00871878185554044,0.251287748479326
"rno-miR-101a-3p",-0.418914978119354,12.8420253541037,9.77281321935799,0.00973051019477319,0.270776611282137
"rno-miR-221-5p",-0.362657368320455,8.59964948863126,8.85017932120634,0.0109188099657114,0.275358738822784
"rno-miR-3065-5p",-0.501338699937112,7.6545333379183,8.8875151619893,0.0107889454876527,0.275358738822784
"rno-miR-338-3p",-0.501338699937112,7.6545333379183,8.8875151619893,0.0107889454876527,0.275358738822784
"rno-miR-484",1.2131388642353,3.0050218524256,8.94351179111085,0.0133497965545377,0.285009180784678
"rno-let-7c-5p",-0.263762207618387,12.4496768191442,8.25497657238119,0.0132577534379198,0.285009180784678
"rno-miR-29a-3p",-0.264486839055393,12.5326459287269,8.16142567406571,0.0136765271445689,0.285009180784678
"rno-miR-9a-3p",-0.264690332272919,11.531100492028,8.54989431945025,0.0120324870355626,0.285009180784678
"rno-miR-186-5p",-0.327640871290369,9.43504047666672,8.47578503966601,0.0123274455179294,0.285009180784678
"rno-miR-29c-5p",-0.45363250521441,7.5371340548266,8.14020180096761,0.0137736778817874,0.285009180784678
"rno-miR-19b-3p",-0.742558822957767,4.15716194278593,10.5638497679853,0.012841488149852,0.285009180784678
"rno-miR-374-3p",-0.382736208585142,7.18226445223323,7.97109148528282,0.0145773303422539,0.286924526492656
"rno-miR-20a-5p",-0.465733979212936,6.10846296720584,8.01414168951879,0.0143676495868262,0.286924526492656
"rno-miR-409a-5p",0.397352539112621,8.49520796707846,7.80489579718722,0.0154211655874568,0.289415828583201
"rno-miR-323-3p",0.342420522843828,9.56059430925645,7.87366778835561,0.0150652228646506,0.289415828583201
"rno-miR-495",0.392239711137358,9.30987173691042,7.61471945362202,0.016457966711464,0.30185407127617
"rno-miR-668",0.521963939553129,5.41921019271432,7.10935536977742,0.019636046682318,0.335350514991916
"rno-miR-411-5p",0.24680025886745,11.7558174597847,7.08220669213808,0.0198262554275262,0.335350514991916
"rno-miR-146b-5p",-0.329097995950384,11.7245174025009,7.07317495317719,0.0199773150018229,0.335350514991916
"rno-miR-219a-5p",-0.504317509733797,6.42072209996085,7.14951143522917,0.0193586209339666,0.335350514991916
"rno-miR-1-3p",-0.732219039914291,4.0107827655881,7.52272646369928,0.0203620510961634,0.335350514991916
"rno-miR-3571",-0.72821007822797,4.00857305091912,7.40958429986276,0.0211486109577811,0.341338580858587
"rno-miR-30c-5p",-0.247290914365311,12.1271986483332,6.67479606225488,0.0229579435989411,0.363275695771479
"rno-miR-3578",0.333085809675749,8.81663061751806,6.60173442397047,0.0235793051339825,0.365932677752382
"rno-miR-140-5p",-0.355636343907347,7.48541942440103,6.37717745678078,0.025616829693854,0.390052482319626
"rno-miR-1839-5p",-0.277524867503372,9.57062785437886,6.25664145883321,0.0267958416197732,0.398667886379537
"rno-miR-582-3p",-0.380246556633,7.3378882870273,6.21962496871794,0.0271706737929052,0.398667886379537
"rno-miR-195-5p",-0.40632739890261,7.0799627118584,6.16093114554321,0.0277777646842817,0.400297430360989
"rno-let-7d-3p",-0.333762386353888,7.62706094240052,5.88590483087828,0.0308447558505867,0.421893524939381
"rno-miR-135a-5p",-0.42604519195445,8.65981310991294,6.02706322831586,0.0304766910352139,0.421893524939381
"rno-miR-30b-5p",-0.500315586707245,8.50333688378397,6.2017850757475,0.0301715711673142,0.421893524939381
"rno-miR-145-3p",0.575664275237853,5.34014993163107,5.92875852515126,0.0316144168391043,0.425213906485953
"rno-miR-300-3p",0.336097133834457,10.618957779763,5.69123262388954,0.0344318591498047,0.434560294557811
"rno-miR-1843a-5p",0.30463489107939,10.0029930455802,5.72134469304763,0.0328711050910217,0.434560294557811
"rno-miR-708-5p",-0.475498207420377,7.15741596092618,5.73431950398178,0.0340175436070371,0.434560294557811
"rno-miR-34a-5p",-0.478343031377054,5.95477700529245,5.6084647091554,0.0344632699525401,0.434560294557811
"rno-miR-143-5p",0.708248669694622,4.05685443210365,5.55754212594823,0.0371916043152574,0.437814596275833
"rno-miR-183-5p",0.657083836291918,4.08514194827561,5.4539737015518,0.0378781110505887,0.437814596275833
"rno-miR-3553",0.657083836291918,4.08514194827561,5.4539737015518,0.0378781110505887,0.437814596275833
"rno-miR-411-3p",0.437350498874356,8.10407028334063,5.46284386368184,0.0377481874762417,0.437814596275833
"rno-miR-218b",-0.189841722743095,14.0870742822801,5.35497396168789,0.0379764829483375,0.437814596275833
"rno-let-7i-5p",-0.206398253281959,13.7351463511839,5.42266211370194,0.0369661743469593,0.437814596275833
"rno-miR-543-3p",0.435297662408587,8.8941563682189,5.35554855791176,0.0411683528825665,0.467927616566636
"rno-miR-187-3p",0.353089118641204,6.68423125233936,5.09141117971253,0.0422356251586311,0.473390965319656
"rno-miR-143-3p",0.863592094816845,14.8600574197532,7.01538713801906,0.046378012321839,0.47504956866767
"rno-miR-873-3p",0.792551748954023,3.45392178130029,11.0266416805906,0.0450154212932225,0.47504956866767
"rno-miR-3579",0.490840583468004,7.53360905340765,4.98459500101251,0.04749202311074,0.47504956866767
"rno-miR-380-5p",0.49072234707174,7.53399987635129,4.97441635623097,0.0476815552194315,0.47504956866767
"rno-miR-673-3p",0.426578072556991,5.05428256953375,4.87962360078151,0.0460736472137701,0.47504956866767
"rno-miR-337-5p",0.313115573629791,7.22093151364719,4.81245659548007,0.0473765302315232,0.47504956866767
"rno-miR-378a-3p",0.236748574522547,10.7650715059236,4.97811747415259,0.0442393228900276,0.47504956866767
"rno-miR-3557-5p",0.236659355180732,10.7651124196587,4.97355975558136,0.0443222658947317,0.47504956866767
"rno-miR-137-3p",-0.284128753439893,8.12570233140787,4.87893106558134,0.0460868615832913,0.47504956866767
"rno-miR-200b-3p",1.32323707974804,2.92220791820188,5.29833221112923,0.0500482937285226,0.491602882916146
"rno-miR-361-5p",-0.301766586160284,6.78198333401567,4.6571294822612,0.0505613869665924,0.491602882916146
"rno-miR-93-5p",-0.302576684567031,7.35780880941882,4.60762183467167,0.0516296962475102,0.496013867520723
"rno-miR-433-3p",0.31206088781879,8.57118601813415,4.56958189300116,0.0524688715271922,0.498145639087577
"rno-miR-431",0.965848320735913,5.50291080644256,5.03373158696964,0.0607928241397824,0.567334116702665
"rno-miR-341",0.247903812577333,10.368846451691,4.21034568802041,0.0612540003284916,0.567334116702665
"rno-let-7a-1-3p",-0.334348540333464,5.49449712560381,4.57480364088153,0.0625684465756347,0.567334116702665
"rno-let-7i-3p",-0.430424436546108,4.81034913072677,6.51754254619044,0.0623325478682477,0.567334116702665
"rno-miR-322-3p",0.395255930641549,5.11747735123443,4.08753287846232,0.0646544037891742,0.579734487309596
"rno-miR-199a-3p",0.766069638421872,5.98042496589091,4.61652145473102,0.0667661709119717,0.592091207977595
"rno-miR-153-3p",-0.38978122144824,5.04166333253819,3.86539105094279,0.0713996331212046,0.626298955747958
"rno-miR-214-3p",1.52345908992725,1.96355481330802,7.39903251422037,0.0744368664853876,0.628191021240389
"rno-miR-764-5p",1.29317141600707,2.17348292324494,7.00991436718966,0.0813526827042984,0.628191021240389
"rno-miR-337-3p",1.1586715438262,2.37558556308249,4.47394139205254,0.0788706164801806,0.628191021240389
"rno-miR-199a-5p",0.961231235472529,4.9802550717194,4.45965451783673,0.0736851954393928,0.628191021240389
"rno-miR-370-5p",0.808276847259339,4.1670525588262,3.95126507703655,0.0817348912394558,0.628191021240389
"rno-miR-3557-3p",0.486408164739847,4.37501789567393,5.38483198303371,0.0739036567715483,0.628191021240389
"rno-miR-760-3p",0.482876352096261,4.33491340357811,4.16914215269261,0.0805030583431609,0.628191021240389
"rno-miR-378a-5p",0.476913020958657,4.39032956393159,5.07947781475465,0.0779053024774229,0.628191021240389
"rno-miR-676",0.353456691925803,8.31352395329839,3.70112799852963,0.0787563648320762,0.628191021240389
"rno-miR-125b-5p",0.170516640890481,12.6628685811188,3.6244914554441,0.0796968897998549,0.628191021240389
"rno-miR-191a-5p",-0.17179515068323,11.8528037346861,3.70799321270285,0.0766952742047069,0.628191021240389
"rno-miR-345-5p",-0.607829220160517,3.77436088903234,6.55520164827758,0.0778425758855743,0.628191021240389
"rno-miR-142-3p",-0.898651134208887,2.86360507533922,9.87388449054244,0.0796388733646848,0.628191021240389
"rno-miR-6331",0.786334744601074,6.84735961979234,4.07039549355946,0.0847627353799343,0.631457312435486
"rno-miR-7a-2-3p",0.396171194872967,4.88549382318889,3.51705246857415,0.0837707311131475,0.631457312435486
"rno-miR-3588",0.168003526633373,12.648556926655,3.50001264033045,0.0844397834919933,0.631457312435486
"rno-miR-3068-5p",-0.249839226896203,7.83797129135555,3.47859901064465,0.0852897733029342,0.631457312435486
"rno-miR-674-3p",0.322880667637499,7.45192464701227,3.40080669374282,0.0884662523110453,0.637430942991192
"rno-miR-450b-5p",0.257135415968252,6.64401871979934,3.40649762042206,0.0882290628315018,0.637430942991192
"rno-miR-138-5p",-0.218051598926253,9.33935192853818,3.41156235841134,0.0880186208518741,0.637430942991192
"rno-miR-129-1-3p",-0.247968602548938,9.18818358014583,3.30753826374358,0.0924661847733416,0.654563255369181
"rno-miR-129-2-3p",-0.247968602548938,9.18818358014583,3.30753826374358,0.0924661847733416,0.654563255369181
"rno-miR-376b-3p",0.46475262692071,4.52028509647761,3.2641542468679,0.0961581540684178,0.659541571691602
"rno-miR-26a-5p",-0.141669807898341,15.5117892452498,3.23083593234049,0.0959214627049766,0.659541571691602
"rno-miR-340-5p",-0.276993825856404,9.81724426701452,3.25797315203537,0.0964385445596146,0.659541571691602
"novel_461",-2.18348656550351,1.45464183748151,9.31182222964556,0.0950049185435032,0.659541571691602
"rno-miR-132-3p",-0.20486527639478,9.48059308330972,3.17809171332461,0.0983889806575923,0.667226112526698
"rno-miR-299a-5p",0.756662075069156,3.06889781052542,4.89182133763687,0.103496688761018,0.669767023962729
"rno-miR-28-3p",0.366740512450264,4.88266941763967,5.06530728108248,0.102370667492754,0.669767023962729
"rno-miR-330-5p",0.201914861639516,9.40799768669562,3.06204729614665,0.104096263699031,0.669767023962729
"rno-miR-379-5p",0.192931047550149,12.2438617563481,3.08564083188195,0.102903784817797,0.669767023962729
"rno-miR-434-5p",0.17092171207787,11.446200246264,3.04726377957357,0.104852080238958,0.669767023962729
"rno-miR-140-3p",-0.216137008637221,10.6843506288239,3.0365653291762,0.105403236732672,0.669767023962729
"rno-miR-21-5p",-0.248559762224758,13.0628937529635,3.17772956438789,0.102453039586986,0.669767023962729
"rno-miR-320-3p",-0.268481744201392,7.05314257184489,3.04723206544187,0.104853708848932,0.669767023962729
"rno-miR-145-5p",0.596562959898224,8.25314773766328,3.35980657767419,0.110636499296271,0.671805496934301
"rno-miR-667-5p",0.421911048954922,5.12573455006734,3.01383265031513,0.108365070933335,0.671805496934301
"rno-miR-376a-5p",0.421404302452195,4.43849415746094,4.10517965106247,0.112128494228156,0.671805496934301
"rno-miR-493-3p",0.303521608336495,5.73417543386876,2.93280266440653,0.110937365596584,0.671805496934301
"rno-miR-758-3p",0.281643431969605,6.5758020471375,2.89190409548296,0.113216291924492,0.671805496934301
"rno-miR-384-3p",-0.21542383989398,8.09708929019348,2.91732173365305,0.111793297900144,0.671805496934301
"rno-miR-212-5p",-0.258459137195635,7.55551737850043,3.00073900837408,0.10727493263551,0.671805496934301
"rno-miR-490-3p",-0.26027444740615,6.70925860149339,2.90040668727998,0.112737814376549,0.671805496934301
"rno-miR-184",-0.513668291679503,3.92220814557617,6.05484032329303,0.113068518141321,0.671805496934301
"rno-miR-344b-1-3p",0.2810715960862,6.57366651705704,2.87634035785635,0.114098614587276,0.672099138481251
"rno-miR-139-3p",0.260959997631333,5.71571501383469,3.07244803168573,0.115078455795953,0.672958795850247
"novel_124",-0.410302195158036,4.48001899217735,3.21336434849766,0.116020250067219,0.673585192836298
"rno-miR-329-3p",0.538898490938383,7.25081281843948,3.09858431712837,0.118052659102849,0.679484727600028
"rno-let-7f-5p",-0.140025423034479,14.2988396543674,2.79716602923584,0.118720379915246,0.679484727600028
"rno-let-7a-5p",-0.15545085513791,11.7040571528296,2.75106159815203,0.121518111538419,0.681007750079893
"rno-miR-3596a",-0.155595139074977,11.7038313759382,2.75813971003564,0.121083349336701,0.681007750079893
"rno-miR-34b-5p",-0.841310689328812,2.7406025491218,4.8611272664627,0.120006210141814,0.681007750079893
"rno-miR-195-3p",0.313806192192089,5.34450171970725,2.73664002457476,0.122409914311596,0.681274488616953
"rno-miR-3596d",-0.137765363764975,14.2613737100071,2.68067454470948,0.125948234071905,0.691430101333519
"rno-miR-425-5p",-0.222024752357398,7.7195405535526,2.69130717443393,0.125266370451413,0.691430101333519
"rno-miR-667-3p",1.05323846324995,6.10450675550903,3.29879557280337,0.127823019222675,0.692303198071802
"rno-miR-301a-5p",0.474022596735629,4.02717131380529,3.73431193075992,0.127243131834705,0.692303198071802
"rno-miR-27a-5p",0.583032355429664,3.44475282808456,5.26052665788762,0.138496561184103,0.697062687532828
"rno-miR-485-5p",0.396244129581849,7.78750123134612,2.61075334724673,0.13993079972778,0.697062687532828
"rno-miR-299b-5p",0.308440383389019,5.10718050122125,3.29679926469304,0.135327310291825,0.697062687532828
"rno-miR-27a-3p",0.30370964815867,8.0113098342866,2.54732202267569,0.136822068157809,0.697062687532828
"rno-miR-410-3p",0.301292501504126,8.1612369714607,2.50944038762428,0.139898960538192,0.697062687532828
"rno-miR-344b-3p",0.271621673682264,5.44143198449213,2.85109056942759,0.137339027243378,0.697062687532828
"rno-miR-24-2-5p",0.264750970305284,6.3680070904626,2.61918248640816,0.129983106032333,0.697062687532828
"rno-miR-127-5p",0.235145937493194,9.45595720785712,2.53500073746395,0.1359198339907,0.697062687532828
"rno-miR-450a-5p",0.223543922608564,6.76461273037825,2.52652672918474,0.136370486061748,0.697062687532828
"rno-miR-369-5p",0.202766801679758,8.74593373496287,2.48099599082217,0.139652211764772,0.697062687532828
"rno-miR-9b-3p",-0.100948239095277,17.7445714488275,2.5995047780329,0.131308016839807,0.697062687532828
"rno-miR-9a-5p",-0.101150626278285,17.748086383839,2.60956391035603,0.130628647653288,0.697062687532828
"rno-miR-598-3p",-0.166246605674569,9.84648948489483,2.49572563021004,0.138579882220292,0.697062687532828
"rno-miR-666-5p",0.631930940007128,3.23267066728548,3.58465420021013,0.142480693198867,0.705410548536722
"rno-miR-344i",1.12256764827609,2.08080357729114,8.24508146513262,0.146846868787186,0.718191257688507
"rno-miR-299b-3p",0.900851004807807,2.4508000468424,4.377140098613,0.149511934686083,0.718191257688507
"rno-miR-381-3p",0.540099914984459,4.06904685668306,2.44950153442664,0.148861691664162,0.718191257688507
"rno-miR-126a-3p",0.151967415918642,12.0719089817021,2.37392522300305,0.147766649474279,0.718191257688507
"rno-miR-211-5p",-0.81616673829405,2.65989915080413,3.7107661404371,0.146086613449405,0.718191257688507
"rno-miR-10b-5p",1.31008473704022,5.47207442465121,2.8137367711592,0.155436901577966,0.730514632872313
"rno-miR-134-3p",0.625847874261148,3.18202824448307,6.37507619550353,0.155104148850021,0.730514632872313
"rno-miR-346",0.272421035927844,5.31986773434401,3.02555373644797,0.153844835539967,0.730514632872313
"rno-miR-935",-0.24597806777462,5.68261403866056,2.27615460595193,0.155698286064483,0.730514632872313
"rno-miR-503-3p",1.10664586998349,2.04607701211507,7.72472380227277,0.16076340270928,0.74991945656872
"rno-miR-106b-5p",-0.314912456184216,4.85761248911082,3.10608509294508,0.164131671877915,0.761231374744123
"rno-miR-496-3p",0.266693224954244,6.4264859770949,2.14228637721388,0.167448782940784,0.770482361058225
"rno-miR-181d-5p",0.202878135044725,7.32785555066033,2.1359120143583,0.168035806129179,0.770482361058225
"rno-miR-216a-3p",2.1788122679627,1.23641894049063,9.15950880899037,0.169188266792902,0.771383792665941
"rno-miR-365-3p",-0.386263922396088,4.23567795201917,3.3297482551486,0.17714490253847,0.803123237913174
"rno-miR-412-3p",0.72540884396325,2.7382266486079,4.35466777050883,0.178325405354592,0.803958671067911
"novel_125",2.13359469924399,1.22895147356768,6.0316568030017,0.179760608738035,0.805926729175526
"rno-miR-3068-3p",0.160943329723333,8.63873903949393,1.99740260453153,0.18146246372588,0.809061923904889
"rno-miR-28-5p",0.343346551049133,4.51024807025377,2.67434754857472,0.182760677792236,0.810372895485355
"rno-miR-499-5p",-0.284858495612142,6.96652033143117,1.91850231072024,0.191453297995879,0.844277658375269
"rno-miR-122-5p",0.852848053302421,2.35221844224961,3.1032499690921,0.193650337699005,0.849325122408135
"rno-miR-326-3p",0.189772175986846,6.69617468186364,1.85903723651117,0.196274708100061,0.856182105063509
"rno-miR-323-5p",0.506060832994282,3.38916371737542,3.00553117503536,0.207789538943679,0.896717422072452
"rno-miR-3556a",-0.188149029087874,9.43316279602048,1.7667209443602,0.207031851547268,0.896717422072452
"rno-miR-107-3p",-0.171787453799804,7.91819143916463,1.74855955183075,0.209237444034348,0.898162858168717
"rno-miR-150-3p",0.942323082977581,2.10993298604843,5.86128483182304,0.21079704095657,0.900069905036782
"rno-miR-664-3p",0.19939168783994,5.78859677805102,1.73592863890714,0.216076910114353,0.917758244538331
"rno-miR-541-3p",0.674439058420722,2.68457825911246,1.90368993768666,0.221491298240112,0.930955612915473
"rno-miR-532-3p",0.659465907269604,2.73101194501715,4.77621458886164,0.221458987707691,0.930955612915473
"rno-miR-7b",0.257191004280992,11.4681519865044,1.72635488414244,0.224987099289945,0.940749166461067
"rno-miR-379-3p",0.200404329127729,5.80789549059668,1.59091563372634,0.229735099369713,0.950941553264154
"rno-miR-342-3p",-0.236209524271769,6.95630560634264,1.59157141725291,0.229781416216245,0.950941553264154
"rno-miR-100-3p",0.716691439898877,2.51401369249256,3.63396658478793,0.232577204369106,0.957601040438104
"rno-miR-99b-3p",0.214738981132432,7.62827009782807,1.53251395777301,0.238085393519542,0.965311716232412
"rno-miR-221-3p",-0.141230326977965,10.0782610479756,1.5257925990606,0.238973749154888,0.965311716232412
"rno-miR-384-5p",-0.143408817579887,8.8061347827401,1.5240022966552,0.239234626079904,0.965311716232412
"rno-miR-342-5p",-0.653733496085852,2.68317723638689,3.92939602047813,0.235902533484154,0.965311716232412
"rno-miR-539-5p",0.216280629635806,6.19959712272337,1.50791828902871,0.241595398939124,0.969987497233201
"rno-miR-152-3p",0.228167900438937,6.97745685342389,1.49642560583867,0.243435384906048,0.972536413956341
"rno-miR-336-5p",1.62670098665331,1.09121294942806,4.79777882206361,0.297501787473717,1
"rno-miR-547-5p",1.58365593304918,1.08736429182384,2.87716219544799,0.308246481358429,1
"rno-miR-3075",1.46892770188992,1.07760678176863,4.58757540633618,0.337717364950711,1
"rno-miR-466b-3p",1.28689347529856,1.27948166854319,2.47554609290058,0.373374084076298,1
"novel_274",1.26643761718997,1.28130446708307,3.11795952787725,0.379613642630997,1
"rno-miR-6314",1.2212725811257,1.05882482218854,2.31840640600077,0.405445637664301,1
"rno-miR-3548",1.22002821853989,1.22372291774251,2.65346201177226,0.423979923650035,1
"rno-miR-743b-5p",1.16140925162746,1.30785466750187,2.46759728188959,0.405158892260169,1
"rno-miR-875",1.15835485575702,1.0545124582447,2.20380179787671,0.423566411625083,1
"rno-miR-743a-5p",1.15800265712238,1.21147301882319,2.64713731022439,0.452368558929057,1
"rno-miR-2985",1.11992786094781,1.48357243450709,4.18610807853354,0.341924834662969,1
"rno-miR-181b-2-3p",1.03668977183003,1.19580385783784,1.92084015868195,0.505895608324302,1
"rno-miR-208a-5p",1.0176398459319,1.04547572165473,2.32567479758972,0.465523556410155,1
"rno-miR-3546",1.0176398459319,1.04547572165473,2.32567479758972,0.465523556410155,1
"rno-miR-5132-5p",0.963936196695763,1.14450637931164,1.34721625543884,0.554390150027759,1
"rno-miR-6216",0.947715151817336,1.09108203750142,1.38711684090918,0.568578421944718,1
"novel_281",0.943258785012331,1.09042908377149,1.28675566524003,0.570326453464739,1
"rno-miR-3120",0.938200738580143,1.84810619360711,3.40188954838733,0.289176049818199,1
"novel_355",0.934664633094406,1.09412641718171,1.03021437476015,0.57430279155487,1
"rno-miR-6328",0.927786595955296,1.09357775157666,1.21534622258423,0.577099203309553,1
"rno-miR-653-3p",0.920875610700731,1.09302887732716,1.28925455651931,0.579913709093444,1
"novel_439",0.919452595037543,1.35918055675352,1.59353112372434,0.482698255469751,1
"novel_390",0.897643526889707,1.27744614867893,1.66278795768733,0.528096512944678,1
"rno-miR-450b-3p",0.889948440990344,1.61293817020173,2.46002101361785,0.394910146954982,1
